Municipio,ÓbtP/Ocor,Saneat,PibPerCapita,PrpBxRnd,RndMdDom,TxAnalf,PopEst
COXILHA,0,2816,82,29,590,7,2701
CRISSIUMAL,0,14010,24,2,626,5,13224
CRISTAL,0,7240,33,42,568,10,7458
CRISTAL DO SUL,0,2825,60,31,425,10,2744
CRUZ ALTA,17,62340,33,53,855,4,60747
CRUZALTENSE,0,2135,27,13,706,6,1654
CRUZEIRO DO SUL,4,12236,33,92,830,3,12566
DAVID CANABARRO,0,4681,7,7,798,6,4424
DERRUBADAS,0,3185,47,84,469,8,2798
DEZESSEIS DE NOVEMBRO,0,2863,8,30,381,10,2542
DILERMANDO DE AGUIAR,0,3059,71,29,549,14,2861
DOIS IRMAOS,3,27435,73,79,917,1,31545
DOIS IRMAOS DAS MISSOES,0,2152,17,1,422,14,2099
DOIS LAJEADOS,0,3272,77,76,989,4,3137
DOM FELICIANO,2,14277,40,63,398,12,13411
DOM PEDRITO,6,38483,77,49,670,6,38258
DOM PEDRO DE ALCANTARA,1,2543,21,47,600,3,2587
DONA FRANCISCA,0,3393,98,4,683,6,3126
DOUTOR MAURICIO CARDOSO,0,5296,30,91,634,6,4583
DOUTOR RICARDO,0,2017,88,63,840,6,1908
ELDORADO DO SUL,9,34115,99,45,678,4,40553
ENCANTADO,7,20397,58,32,925,3,23303
ENCRUZILHADA DO SUL,8,24331,67,18,522,10,24362
ENGENHO VELHO,0,1525,11,74,754,9,1297
ENTRE RIOS DO SUL,0,3072,46,66,648,8,2727
ENTRE-IJUIS,1,8869,22,12,586,5,9352
EREBANGO,0,2969,56,95,573,6,3073
ERECHIM,34,95236,80,69,1019,3,108730
ERNESTINA,1,3071,99,61,619,5,3084
ERVAL GRANDE,0,5137,56,18,676,10,5037
ERVAL SECO,0,7850,95,45,497,10,6959
ESMERALDA,1,3160,50,18,485,8,3228
ESPERANCA DO SUL,0,3248,23,37,502,9,3284
ESPUMOSO,4,15013,37,30,827,6,15501
ESTACAO,0,6006,31,10,860,3,5707
ESTANCIA VELHA,0,42437,92,78,842,2,49040
ESTEIO,12,80370,28,2,942,2,78686
ESTRELA,7,30486,85,35,1002,2,33119
ESTRELA VELHA,0,3625,17,74,611,8,3120
EUGENIO DE CASTRO,0,2776,25,43,593,6,2660
FAGUNDES VARELA,1,2578,90,66,981,4,2593
FARROUPILHA,16,63242,31,83,1015,2,71975
FAXINAL DO SOTURNO,2,6651,55,38,744,4,6848
FAXINALZINHO,2,2560,51,31,425,10,2545
FAZENDA VILANOVA,1,3684,52,44,730,5,4340
FELIZ,0,12322,33,61,895,0,13874
FLORES DA CUNHA,4,26997,70,31,1046,3,31679
FLORIANO PEIXOTO,0,2004,96,14,621,3,1688
FONTOURA XAVIER,0,10630,46,61,504,18,9804
